Name,Year,Status,Birth Date,Birth Place,Gender,Alma Mater,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission,Country
Joseph M. Acaba,2004.0,Active,5/17/1967,"Inglewood, CA",Male,University of California-Santa Barbara; University of Arizona,,,3,3307,3.0,19.0,"STS-119 (Discovery), Soyuz TMA-04M, Soyuz MS-06",,,USA
Loren W. Acton,,Retired,3/7/1936,"Lewiston, MT",Male,Montana State University; University of Colorado,,,1,190,0.0,0.0,STS-51-F (Challenger),,,USA
James C. Adamson,1984.0,Retired,3/3/1946,"Warsaw, NY",Male,US Military Academy; Princeton University,Colonel,US Army (Retired),2,334,0.0,0.0,"STS-28 (Columbia), STS-43 (Atlantis)",,,USA
Thomas D. Akers,1987.0,Retired,5/20/1951,"St. Louis, MO",Male,University of Missouri-Rolla,Colonel,US Air Force (Retired),4,814,4.0,29.0,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)",,,USA
Buzz Aldrin,1963.0,Retired,1/20/1930,"Montclair, NJ",Male,US Military Academy; MIT,Colonel,US Air Force (Retired),2,289,2.0,8.0,"Gemini 12, Apollo 11",,,USA
Andrew M. Allen,1987.0,Retired,8/4/1955,"Philadelphia, PA",Male,Villanova University; University of Florida,Lieutenant Colonel,US Marine Corps (Retired),3,906,0.0,0.0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)",,,USA
Joseph P. Allen,1967.0,Retired,6/27/1937,"Crawsfordsville, IN",Male,DePauw University; Yale University,,,2,313,2.0,12.0,"ST-5 (Columbia), STS-51-A (Discovery)",,,USA
Scott D. Altman,1995.0,Retired,8/15/1959,"Lincoln, IL",Male,University of Illinois; US Naval Postgraduate School,Captain,US Navy (Retired),4,1236,0.0,0.0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)",,,USA
William A. Anders,1963.0,Retired,10/17/1933,Hong Kong,Male,US Naval Academy; Air Force Institute of Technology,Major General,US Air Force Reserves (Retired),1,147,0.0,0.0,Apollo 8,,,USA
Clayton C. Anderson,1998.0,Retired,2/23/1959,"Omaha, NE",Male,Hastings College; Iowa State University,,,2,4005,6.0,38.0,"STS-117 (Atlantis), STS-131 (Discovery)",,,USA
Michael P. Anderson,1995.0,Deceased,12/25/1959,"Plattsburgh, NY",Male,University of Washington; Creighton University,Lieutenant Colonel,US Air Force,2,594,0.0,0.0,"STS-89 (Endeavor), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia),USA
Dominic A. Antonelli,2000.0,Active,8/23/1967,"Detroit, MI",Male,MIT; University of Washington,Commander,US Navy,2,579,0.0,0.0,"STS-119 (Discovery), STS-132 (Atlantis)",,,USA
Jerome Apt III ,1985.0,Retired,4/18/1949,"Springfield, MA",Male,Harvard University; MIT,,,4,847,2.0,11.0,"STS-37 (Atlantis), STS-47 (Endeavor), STS-59 (Endeavor), STS-79 (Atlantis)",,,USA
Lee J. Archambault,1998.0,Retired,8/25/1960,"Oak Park, IL",Male,University of Illinois-Urbana,Colonel,US Air Force,2,639,0.0,0.0,"STS-117 (Atlantis), STS-119 (Discovery)",,,USA
Neil A. Armstrong,1962.0,Deceased,8/5/1930,"Wapakoneta, OH",Male,Purdue University; University of Southern California,,,2,205,1.0,2.0,"Gemini 8, Apollo 11",8/25/2012,,USA
Richard R. Arnold II ,2004.0,Active,11/26/1963,"Cheverly, MD",Male,Frostburg State University; University of Maryland,,,1,307,2.0,12.0,STS-119 (Discovery),,,USA
Jeffrey S. Ashby,1995.0,Retired,6/1/1954,"Dallas, TX",Male,University of Idaho; University of Tennessee,Captain,US Navy (Retired),3,655,0.0,0.0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)",,,USA
Serena M. Aunon,2009.0,Active,4/9/1976,"Indianapolis, IN",Female,George Washington University; University of Texas,,,0,0,0.0,0.0,,,,USA
James P. Bagian,1980.0,Retired,2/22/1952,"Philadelphia, PA",Male,Drexel University; Thomas Jefferson University,,,2,337,0.0,0.0,"STS-29 (Discovery), STS-40 (Columbia)",,,USA
Ellen S. Baker,1984.0,Retired,4/27/1953,"Fayettesville, NC",Female,State University of New York-Buffalo; Cornell University; University of Texas,,,3,686,0.0,0.0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)",,,USA
Michael A. Baker,1985.0,Management,10/27/1953,"Memphis, TN",Male,University of Texas,Captain,US Navy (Retired),4,965,0.0,0.0,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (Endeavor), STS-81 (Atlantis)",,,USA
Michael R. Barratt,2000.0,Active,4/16/1959,"Vancouver, WA",Male,University of Washington; Northwestern University; Wright State University,,,2,5075,1.0,5.0,"Soyuz TMA-14, STS-133 (Discovery)",,,USA
Daniel T. Barry,1992.0,Retired,12/30/1953,"Norwalk, CT",Male,Cornell University; Princeton University; University of Miami,,,3,733,4.0,26.0,"STS-72 (Endeavor), STS-96 (Discovery), STS-105 (Discovery)",,,USA
John-David F. Bartoe,,Retired,11/17/1944,"Abington, PA",Male,Lehigh University; Georgetown University,,,1,190,0.0,0.0,STS-51-F (Challenger),,,USA
Charles A. Bassett II ,1963.0,Deceased,12/30/1931,"Dayton, OH",Male,Texas Technological College,Captain,US Air Force,0,0,0.0,0.0,,2/28/1966,,USA
Alan L. Bean,1963.0,Retired,3/15/1932,"Wheeler, TX",Male,University of Texas,Captain,US Navy (Retired),2,1671,3.0,10.0,"Apollo 12, Skylab 3",,,USA
Robert L. Behnken,2000.0,Active,7/28/1970,"Creve Couer, MO",Male,Washington University; California Institute of Technology,Colonel,US Air Force,2,708,6.0,37.0,"STS-123 (Endeavor), STS-130 (Endeavor)",,,USA
John E. Blaha,1980.0,Retired,8/26/1942,"San Antonio, TX",Male,US Air Force Academy; Purdue University,Colonel,US Air Force (Retired),5,3861,0.0,0.0,"STS-29 (Discovery), STS-33 (Discovery), STS-43 (Atlantis), STS-58 (Columbia), STS-79 (Atlantis)",,,USA
