,Name,Year,Status ,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
0,Sergey Avdeyev,1987,Retired,1956-01-01 00:00:00,"Chapayevsk, Samara Oblast",Male, Moscow Physics-Engineering Institute,Engineering Physics,Engineering Physics,,,3,17942,10.0,42.0,"Soyuz TM-15, Soyuz TM-22, Soyuz TM-28",,
1,Victor Afanasyev,1988,Retired,1948-12-31 00:00:00,Bryansk,Male,Ordzhonikidze Aviation Institute/Kachynskoye Military Pilot School ,Pilot,Pilot,Colonel,Russian Air Force,4,13338,7.0,38.0,"Soyuz TM-11, Soyuz TM-18, Soyuz TM-29, Soyuz TM-33",,
2,Vladimir Aksyonov,1973,Retired,1935-02-01 00:00:00,"Giblitsy, Kasimovsky District, Ryazan Oblast",Male,Institute of Engineering/Air Force Institute/Polytechnical Institute,Astronautical Engineering,doctorate degree on spacecraft steering systems,Lieutenant colonel,Russian Air Force,2,284,,,"Soyuz 22, Soyuz T-2",,
3,Alexander Alexanderov,1978,Retired,1943-02-20 00:00:00,"Moscow, Russia",Male,Bauman Moscow State Technical University ,,,,,2,7434,,,"Soyuz T-9, Soyuz TM-3",,
4,Anatoly Artsebarsky,1985,Retired,1956-09-09 00:00:00,"Prosyana, Ukrainian SSR, Soviet Union",Male,Kharkov Higher Military Aviation School of Pilots/The Russian Presidential Academy of National Economy and Public Administration,Military pilot-engineer ,Master of Business Administration (MBA),Сolonel,Russian Air Force,1,3471,6.0,33.0,Soyuz TM-12,,
5,Yury Artyukhin,1963,Deceased,1930-06-22 00:00:00,"Pershutino, Moscow Oblast, Russia",Male,Air Force Institute,"doctorate in engineering, specialising in military communication systems",,Colonel,Russian Air Force,1,137,,,Soyuz 14,4/08/ 1998,
6,Oleg Atkov,1983,Retired,1949-05-09 00:00:00,"Khvorostyanka, USSR",Male,Russian Academy of Medical Science/Myasnikov Institute of Clinical Cardiology,Engineering Physics,doctorate in engineering,,,1,5686,,,Soyuz T-10,,
7,Toktar Aubakirov,1991,Retired,1946-07-27 00:00:00,"Karaganda, Kazakh SSR, Soviet Union",Male,the Armavir Military Aviation Institute of the Anti-Air Defence Pilots,,,Major General,Russian Air Force,1,190,,,Soyuz TM-13,,
8,Oleg Artemyev,2003,Active,1970-12-28 00:00:00,"Riga,Latvia",Male,Bauman Moscow State Technical University / the Russian Presidential Academy of National Economy and Public Administration,Engineering ,Engineering ,,,1,4061,2.0,12.0,Soyuz ТМА-12М,,
9,Alexander Balandin,1978,Retired,1953-07-30 00:00:00,"Fryazino, Moscow Oblast",Male,Bauman Moscow State Technical University,Engineering,,,,1,4297,2.0,10.0,Soyuz TM-9,,
10,Yury Baturin,1997,Retired,1949-06-12 00:00:00," Moscow, Soviet Union",Male, Moscow Institute of Physics and Technology/ Moscow state university,Engineering,Law/journalism,,,2,473,,,"Soyuz TM-28, Soyuz TM-32",,
