Crew,Country,Habitation,Brief Mission Summary,Fatality,Moon,Sub Orbital,Prolongation,Launch Data,Launch Mission,Return Data,Return Mission,Launch Year
Yury Gagarin,USSR/Russia,,First manned spaceflight. Completed one Earth orbit.,N,N,N,0.0,1961-04-12,Vostok 1,1961-04-12,Vostok 1,1961
Alan B. Shepard,USA,,"First American manned suborbital spaceflight (altitude 187 kilometres, 116 miles).",N,N,Y,0.0,1961-05-05,Mercury-Redstone 3 (Freedom 7),1961-05-05,Mercury-Redstone 3 (Freedom 7),1961
Virgil I. Grissom,USA,,"Second American manned suborbital flight (altitude 118.26 mi, 190 km).",N,N,Y,0.0,1961-07-21,Mercury-Redstone 4 (Liberty Bell 7),1961-07-21,Mercury-Redstone 4 (Liberty Bell 7),1961
Gherman Titov,USSR/Russia,,Day-long flight. Completed 17 Earth orbits. Brief manual control by pilot.,N,N,N,1.0,1961-08-06,Vostok 2,1961-08-07,Vostok 2,1961
John H. Glenn,USA,,First American manned orbital flight. Completed three orbits.,N,N,N,0.0,1962-02-20,Mercury-Atlas 6 (Friendship 7),1962-02-20,Mercury-Atlas 6 (Friendship 7),1962
M. Scott Carpenter,USA,,First manual retrofire. Earth photography and study of liquids in weightless conditions.,N,N,N,0.0,1962-05-24,Mercury-Atlas 7 (Aurora 7),1962-05-24,Mercury-Atlas 7 (Aurora 7),1962
Andriyan Nikolayev,USSR/Russia,,First instance of two manned spacecraft in orbit simultaneously.,N,N,N,4.0,1962-08-11,Vostok 3,1962-08-15,Vostok 3,1962
Pavel Popovich,USSR/Russia,,First instance of two manned spacecraft in orbit simultaneously.,N,N,N,3.0,1962-08-12,Vostok 4,1962-08-15,Vostok 4,1962
Walter M. Schirra,USA,,First flawless Mercury mission.,N,N,N,0.0,1962-10-03,Mercury-Atlas 8 (Sigma 7),1962-10-03,Mercury-Atlas 8 (Sigma 7),1962
L. Gordon Cooper,USA,,First live TV from U.S. astronaut.,N,N,N,1.0,1963-05-15,Mercury-Atlas 9 (Faith 7),1963-05-16,Mercury-Atlas 9 (Faith 7),1963
Valery Bykovsky,USSR/Russia,,Longest solo spaceflight.,N,N,N,5.0,1963-06-14,Vostok 5,1963-06-19,Vostok 5,1963
Valentina Tereshkova,USSR/Russia,,First woman in space.,N,N,N,3.0,1963-06-16,Vostok 6,1963-06-19,Vostok 6,1963
Joseph A. Walker,USA,,First winged craft in space. Reached altitude of 106 km.,N,N,Y,0.0,1963-07-19,"Flight 90, X-15",1963-07-19,"Flight 90, X-15",1963
Joseph A. Walker,USA,,Reached altitude of 108 km. Walker becomes first person to fly into space twice. X-15 #3 (serial 56-6672) becomes first vehicle to fly into space twice.,N,N,Y,0.0,1963-08-22,"Flight 91, X-15",1963-08-22,"Flight 91, X-15",1963
"Vladimir Komarov, Konstantin Feoktistov, Boris Egorov",USSR/Russia,,First multiple person spaceflight. Biomedical research.,N,N,N,1.0,1964-10-12,Voskhod 1,1964-10-13,Voskhod 1,1964
"Alexey Leonov, Pavel Belyayev",USSR/Russia,,First EVA.,N,N,N,1.0,1965-03-18,Voskhod 2,1965-03-19,Voskhod 2,1965
"Virgil I. Grissom, John W. Young",USA,,First to perform orbital maneuvers.,N,N,N,0.0,1965-03-23,Gemini 3,1965-03-23,Gemini 3,1965
"James A. McDivitt, Edward H. White",USA,,First American EVA.,N,N,N,4.0,1965-06-03,Gemini 4,1965-06-07,Gemini 4,1965
"L. Gordon Cooper, Charles P. Conrad",USA,,First one week spaceflight. Cooper becomes the first person to orbit the Earth on two different missions.,N,N,N,8.0,1965-08-21,Gemini 5,1965-08-29,Gemini 5,1965
"Frank F. Borman, James A. Lovell",USA,,First two-week spaceflight. First space rendezvous in history with Gemini 6A.,N,N,N,14.0,1965-12-04,Gemini 7,1965-12-18,Gemini 7,1965
"Walter M. Schirra, Thomas P. Stafford",USA,,First space rendezvous in history with Gemini 7.,N,N,N,1.0,1965-12-15,Gemini 6A,1965-12-16,Gemini 6A,1965
"Neil A. Armstrong, David R. Scott",USA,,First docking in space in history with Agena Target Vehicle Planned EVA canceled due to early re-entry necessitated by stuck thruster.,N,N,N,1.0,1966-03-16,Gemini 8,1966-03-17,Gemini 8,1966
"Thomas P. Stafford, Eugene A. Cernan",USA,,First backup crew to fly space mission.,N,N,N,3.0,1966-06-03,Gemini 9A,1966-06-06,Gemini 9A,1966
"John W. Young, Michael Collins",USA,,First rendezvous with two different objects.,N,N,N,3.0,1966-07-18,Gemini 10,1966-07-21,Gemini 10,1966
"Charles P. Conrad, Richard F. Gordon, Jr.",USA,,Held altitude record prior to lunar missions (1374 km).,N,N,N,3.0,1966-09-12,Gemini 11,1966-09-15,Gemini 11,1966
